Stocks,mean,min,max,variance,std,skewness,kurtosis
AAA,8.903560606060607,8.16,10.1,0.2578441402662993,0.5077835565142882,0.817234464097756,-0.46428116228575167
ACB,25.333333333333332,24.15,26.65,0.32612373737373734,0.5710724449434917,0.07802025138511963,-0.8559587651620837
ANV,17.610757575757575,15.32,21.0,2.0817085169880625,1.4428127102947432,0.610230580122471,-0.4520317873943265
BCG,6.118636363636364,3.86,6.7,0.32638753443526175,0.5713033646279897,-2.6927079311374738,7.081586750561657
BCM,69.4225,64.0,80.6,11.86145208333333,3.444045888679959,1.1924270311887697,1.4724617245934501
BID,39.672121212121205,36.73,41.57,1.4330530762167129,1.1971019489653807,-0.4179540612743868,-0.7756783632523323
BMP,121.79507575757575,97.58,137.5,61.33667196395775,7.831773232414084,-0.861656612240228,1.2048176854960255
BSI,48.03219696969697,43.05,57.2,10.393300476354453,3.2238642149374797,0.9010556625142558,0.45179800586174634
BVH,48.19583333333333,41.72,58.7,29.573927335858585,5.438191550125702,0.23022013368502456,-1.443690013452093
BWE,44.69833333333334,42.3,46.77,0.7971547979797982,0.8928352580290488,-0.16318311726473353,-0.249375251779004
CII,14.199015151515152,13.2,15.51,0.2964513028007347,0.5444734179009427,0.1057286437281438,-0.8577569700211436
CMG,47.09689393939393,41.5,52.97,6.019875958448116,2.4535435513656805,0.47343785452193254,-0.44292126407913823
CTD,70.71977272727271,58.13,96.0,108.88133555440771,10.434621965093307,1.1928911866923606,0.05441172100450542
CTG,37.14318181818182,33.1,42.65,5.8021883608815426,2.408773206609859,0.8564830451544232,-0.35809948163888317
CTR,124.86303030303031,112.1,138.2,24.07549384756657,4.906678494416215,0.11987868769648662,-0.4689760723762437
CTS,36.829166666666666,32.55,40.8,5.377274305555558,2.3188950613504606,0.08112968395309632,-1.2495960658843253
DBC,28.07272727272727,25.4,31.0,1.9938774104683195,1.4120472408769897,0.1921589224566744,-1.0281827858099335
DCM,36.32575757575758,32.8,39.15,2.060624426078971,1.4354875220910042,-0.5767258674452191,-0.4970774061953227
DGC,111.03719696969696,105.9,119.0,8.262624718778698,2.8744781646028725,0.6261361290147182,-0.060058071472141705
DGW,42.07242424242424,37.25,48.3,10.332697153351699,3.214451298954722,0.2798182519953113,-1.0335710569464056
DIG,20.272727272727273,17.45,23.35,2.030998622589532,1.4251310896158051,0.21541688098192482,-0.6095328001473788
DPM,35.18333333333334,33.45,37.2,0.9119949494949499,0.954984266621681,0.12845328504557882,-0.695731847414911
DSE,25.005,21.39,27.65,1.3376295454545453,1.1565593566499497,-0.3706018516001377,0.15386177500212472
DXG,15.560984848484846,14.01,17.32,0.6992361512855829,0.8362034150166949,0.41820522909491015,-0.7825491245087042
DXS,6.65659090909091,5.5,8.03,0.5446800447658402,0.7380244201690349,0.037107287672561905,-1.33056669892724
EIB,18.990227272727275,16.83,22.25,1.5242461604683193,1.234603645089516,0.5486330455103213,0.0995849129908617
EVF,10.371515151515151,8.5,11.4,0.5193537649219468,0.7206620323854636,-0.7075053009116405,-0.5835263201818073
FPT,140.13257575757575,129.1,154.3,49.719714577594125,7.05122078633155,0.24051982984780784,-1.375755366095339
FRT,180.59924242424242,163.0,206.0,60.50522669880625,7.778510570720223,0.5258778939388519,1.0892902850118746
FTS,43.30833333333332,39.5,51.7,6.678680555555555,2.5843143298669293,1.4827520900289743,1.9679352434974904
GAS,69.80265151515151,66.4,77.08,6.662519484618916,2.581185674185202,0.9917602147624505,0.10160377368830131
GEX,20.326136363636365,17.2,23.4,2.2724040117079887,1.5074495055251398,0.2147096741544914,-0.9015669965786324
GMD,63.99871212121214,58.1,67.4,4.715756674701562,2.1715793042625826,-0.36465245197833673,-0.9271261880209556
GVR,32.099242424242426,27.75,36.07,5.071603971533517,2.2520221960570277,-0.01870919733820837,-0.9298108412893198
HAG,11.586742424242427,10.15,13.25,0.7519265094123048,0.8671369611614447,-0.14618776996978664,-1.3244721315541048
HCM,29.022045454545452,25.95,32.45,1.8738041494490358,1.3688696612347853,0.5132737983605117,-0.0781729439385681
HDB,22.604469696969698,20.46,26.65,1.0423186581726354,1.020940085496027,0.4473263789187016,1.523147787658222
HDC,25.207272727272724,23.35,27.45,0.8547880165289256,0.9245474658063401,0.3467712261270819,-0.7162709207875344
HDG,28.079924242424244,26.4,31.05,1.1254492366850322,1.0608719228469723,0.964574617259009,0.4500322473293896
HHV,11.903409090909092,10.6,13.15,0.4246664084022039,0.651664337218329,0.05966574260919039,-1.017810604388756
HPG,26.614015151515154,24.85,28.45,0.6130800906795224,0.782994310758081,-0.033343823457023324,-0.4744283897757362
HSG,19.086742424242424,16.65,21.35,1.594085600321396,1.2625710278322546,-0.0021506737474940463,-1.0736069920433606
HT1,12.02727272727273,11.4,13.05,0.1812258953168044,0.42570634869215235,0.8413305568719406,-0.43892201824091925
IMP,46.56401515151515,41.35,53.2,6.044178575528008,2.458491117642691,0.03261282959591153,-0.3893095421315822
KBC,28.063636363636363,24.7,30.6,1.7980337465564737,1.3409078068817684,-0.24142282531027148,-0.5928903698414216
KDC,54.57159090909091,49.71,59.6,14.14353004476584,3.760788487108234,-0.011500496948786137,-1.8052705184482467
KDH,34.000757575757575,32.0,36.15,0.8362721533516988,0.9144791705400943,0.3238824546855149,-0.26638732067184234
KOS,38.782575757575756,37.5,40.1,0.3289009412304869,0.5734988589618003,0.2750522992280133,-0.26667642037160677
LPB,30.146515151515153,25.86,37.7,13.594486340679522,3.6870701567341406,0.8284456745215065,-0.8745745940710234
MBB,21.840227272727272,20.13,24.8,0.9507779786501378,0.9750784474339169,0.9516582665775322,0.6153957085813264
MSB,11.676136363636363,10.75,13.2,0.3306237086776859,0.5749988771099348,1.0932990078311071,0.2559284385203493
MSN,71.94166666666666,63.7,81.1,16.801066919191918,4.098910455132183,0.3361562058660534,-0.5950483308514962
MWG,61.900757575757574,54.1,69.1,15.239014577594121,3.903718045350371,0.1804809947458011,-1.1665496076628723
NAB,16.424621212121206,15.35,18.1,0.4785415231864095,0.6917669572814312,0.5292590279608486,-0.854588257888051
NKG,15.340681818181817,13.25,17.22,1.3449048381542699,1.1597003225636655,-0.12840502981852817,-1.2642157095694113
NLG,37.13409090909091,31.6,42.4,9.917549931129477,3.149214176763701,-0.13993730065452903,-1.2649538881758886
NT2,19.31931818181818,17.59,21.3,0.6906851411845732,0.8310746904969332,0.3878984779399822,-0.4781703778122157
OCB,11.25530303030303,10.35,12.8,0.33141127180899915,0.5756833086072577,0.5695089037748627,-0.21099135914658662
PAN,24.457575757575754,22.3,28.4,3.087253213957759,1.7570581134264625,0.9736371851771434,-0.2963846327119657
PC1,23.484924242424242,21.55,25.61,0.8073462063820016,0.8985244606475672,0.23280269473164658,-0.38929314011988536
PDR,20.575757575757574,18.05,23.15,1.2764956382001833,1.1298210646824494,-0.21133897887759634,-0.6585574998982469
PHR,55.25734848484849,49.7,66.1,16.017230090679526,4.002153181810952,1.5135237821040572,1.4472727404430055
PLX,41.520833333333336,37.5,47.0,6.49651672979798,2.548826539762559,0.4058030829339712,-1.1058126592119446
PNJ,94.94386363636363,87.4,99.15,4.330725223829197,2.0810394575377944,-0.4372665984626451,0.0998309152901844
POW,12.190530303030304,11.2,13.2,0.24091411271809007,0.49083002426307426,0.13029031204327812,-0.7127261483250735
PPC,11.409090909090908,10.86,12.04,0.09079614325068872,0.3013239838623682,-0.15995404405305821,-0.9113693320299614
PTB,61.48242424242424,57.2,66.3,3.0546713957759413,1.7477618246706104,0.24785849987450664,0.0790307561893977
PVD,24.672348484848484,22.15,28.05,2.367511908861341,1.5386721251980038,0.5955219448856803,-0.7557993084485943
PVT,27.197954545454547,25.4,29.3,0.7564177858126723,0.8697228212555264,0.008608109068970164,-0.7150109178660631
REE,66.05871212121212,61.16,75.0,9.220579401974287,3.0365406965779806,1.4360681273006828,1.398857567658136
SAB,53.90901515151514,51.1,56.46,1.9397831209825518,1.3927609705123676,-0.4204054793507467,-0.746697592861806
SBT,12.033712121212123,10.73,15.0,1.1449187959136824,1.0700087831011866,1.241730728727367,0.6230477516993504
SCS,76.57371212121211,70.54,85.0,7.053233947428833,2.655792527180697,0.4082067274149176,0.13130065782647016
SHB,9.501136363636364,9.1,10.7,0.0872949207988981,0.29545713868325824,0.9396875361117215,0.6317206144909338
SIP,79.1294696969697,69.27,92.2,39.210714112718094,6.261845902984047,0.3102809566218473,-0.8650959861275171
SJS,75.18712121212121,60.6,108.0,205.7183947428834,14.342886555463073,0.8976154275944014,-0.7308314586556643
