time,open,high,low,close,volume,stock_id
2024-09-04,10.05,10.15,9.97,10.1,3333000,AAA
2024-09-05,10.1,10.35,10.1,10.1,3063500,AAA
2024-09-06,10.1,10.15,9.85,9.9,7338600,AAA
2024-09-09,9.7,9.89,9.7,9.8,3423700,AAA
2024-09-10,9.8,9.85,9.71,9.72,2438300,AAA
2024-09-11,9.72,9.72,9.58,9.6,3108400,AAA
2024-09-12,9.8,9.8,9.66,9.68,1681700,AAA
2024-09-13,9.72,9.8,9.68,9.77,1435600,AAA
2024-09-16,9.78,9.96,9.78,9.85,2028300,AAA
2024-09-17,9.77,9.85,9.76,9.85,1122000,AAA
2024-09-18,9.84,9.89,9.8,9.8,2070000,AAA
2024-09-19,9.84,9.88,9.8,9.81,1243800,AAA
2024-09-20,9.87,10.05,9.85,9.93,3113000,AAA
2024-09-23,9.94,9.98,9.84,9.86,1115500,AAA
2024-09-24,9.86,10.1,9.8,10.0,3705200,AAA
2024-09-25,10.05,10.2,10.0,10.05,1948300,AAA
2024-09-26,10.05,10.1,9.86,9.87,4507000,AAA
2024-09-27,9.87,9.89,9.73,9.75,4645900,AAA
2024-09-30,9.71,9.79,9.69,9.69,3104600,AAA
2024-10-01,9.72,9.83,9.72,9.75,2191600,AAA
2024-10-02,9.72,9.73,9.66,9.66,2325900,AAA
2024-10-03,9.69,9.69,9.42,9.45,4357900,AAA
2024-10-04,9.52,9.54,9.43,9.43,1088800,AAA
2024-10-07,9.5,9.52,9.39,9.4,1321600,AAA
2024-10-08,9.4,9.45,9.37,9.43,955700,AAA
2024-10-09,9.44,9.58,9.43,9.58,1802200,AAA
2024-10-10,9.58,9.64,9.54,9.55,1639500,AAA
2024-10-11,9.6,9.6,9.5,9.54,1036600,AAA
2024-10-14,9.57,9.59,9.43,9.44,1512300,AAA
2024-10-15,9.5,9.51,9.37,9.37,1598500,AAA
2024-10-16,9.35,9.4,9.24,9.24,1798300,AAA
2024-10-17,9.23,9.37,9.23,9.3,1200400,AAA
2024-10-18,9.31,9.43,9.31,9.32,1094900,AAA
2024-10-21,9.32,9.34,9.2,9.2,1475100,AAA
2024-10-22,9.21,9.24,9.13,9.17,1345000,AAA
2024-10-23,9.18,9.21,9.11,9.12,1022000,AAA
2024-10-24,9.12,9.15,9.03,9.03,1263200,AAA
2024-10-25,9.03,9.06,8.9,8.91,1681100,AAA
2024-10-28,8.92,8.99,8.91,8.93,690400,AAA
2024-10-29,8.85,9.19,8.8,9.09,3149800,AAA
2024-10-30,9.1,9.1,8.86,8.9,1441700,AAA
2024-10-31,8.9,8.9,8.79,8.8,2196000,AAA
2024-11-01,8.8,8.82,8.37,8.4,4638900,AAA
2024-11-04,8.4,8.4,8.26,8.27,1948700,AAA
2024-11-05,8.25,8.36,8.25,8.3,1161400,AAA
2024-11-06,8.31,8.68,8.31,8.6,2993400,AAA
2024-11-07,8.69,8.72,8.6,8.63,1176000,AAA
2024-11-08,8.63,8.65,8.48,8.51,1118800,AAA
2024-11-11,8.52,8.53,8.38,8.5,1273700,AAA
2024-11-12,8.54,8.6,8.48,8.48,1252400,AAA
2024-11-13,8.43,8.49,8.33,8.49,1550800,AAA
2024-11-14,8.45,8.49,8.3,8.3,1090600,AAA
2024-11-15,8.29,8.29,8.08,8.16,2222700,AAA
2024-11-18,8.16,8.29,8.15,8.27,1388300,AAA
2024-11-19,8.3,8.36,8.25,8.25,595500,AAA
2024-11-20,8.24,8.41,8.21,8.4,1615700,AAA
2024-11-21,8.44,8.44,8.35,8.4,505900,AAA
2024-11-22,8.4,8.42,8.35,8.36,874300,AAA
2024-11-25,8.35,8.59,8.35,8.57,1852300,AAA
2024-11-26,8.6,8.65,8.56,8.57,1120400,AAA
2024-11-27,8.57,8.59,8.47,8.5,908500,AAA
2024-11-28,8.5,8.6,8.48,8.51,707300,AAA
2024-11-29,8.52,8.55,8.48,8.48,1175000,AAA
2024-12-02,8.5,8.58,8.47,8.5,755300,AAA
2024-12-03,8.5,8.58,8.47,8.55,1244500,AAA
2024-12-04,8.55,9.0,8.5,8.74,4840900,AAA
2024-12-05,8.8,8.82,8.66,8.81,1448300,AAA
2024-12-06,8.82,8.98,8.74,8.74,1798100,AAA
2024-12-09,8.74,8.81,8.74,8.75,1255200,AAA
2024-12-10,8.75,8.86,8.75,8.75,1075700,AAA
2024-12-11,8.76,8.83,8.71,8.75,834300,AAA
2024-12-12,8.78,8.95,8.76,8.83,1972800,AAA
2024-12-13,8.81,8.83,8.71,8.72,717400,AAA
2024-12-16,8.72,8.79,8.6,8.61,1206100,AAA
2024-12-17,8.63,8.63,8.51,8.54,779200,AAA
2024-12-18,8.54,8.6,8.48,8.58,1272600,AAA
2024-12-19,8.5,8.65,8.46,8.57,1052300,AAA
